group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
805077s	805077	s	63385	398	0.998975	9959	229	0.114269	375.714286	3.769865	0.045994	404.741187
805180g	805180	g	74588	443	0.999316	9962	266	0.218229	461	3.562177	0.074544	579.696326
805180p	805180	p	88243	510	0.999377	9949	252	0.163333	438.24	3.439981	0.066985	487.287877
805180s	805180	s	39175	482	0.998086	10042	407	0.114419	769.232558	4.115901	0.036117	897.324598
805216g	805216	g	39985	428	0.998099	10055	352	0.184983	603.121951	3.74571	0.061656	716.373995
805243g	805243	g	39936	360	0.998147	10032	286	0.187998	480.25	3.806013	0.056865	569.535762
805243p	805243	p	35168	443	0.997469	10007	354	0.080843	719.675676	4.033362	0.032661	948.595855
805274g	805274	g	76696	494	0.9988	9963	266	0.185286	437.848485	3.751851	0.056542	616.287245
805287s	805287	s	64836	201	0.999537	9978	112	0.148727	158.75	3.212721	0.067442	235.161173
805404g	805404	g	55885	298	0.998891	9981	189	0.127041	359.526316	3.195165	0.071571	445.365518
805501g	805501	g	74349	592	0.998884	9956	331	0.080052	510.558824	4.40522	0.022748	585.230188
805501s	805501	s	38691	363	0.997932	10025	283	0.155112	514.090909	3.673365	0.051537	627.433368
805648g	805648	g	62363	661	0.998493	9924	362	0.066505	534.93617	4.305893	0.024615	627.890862
805648s	805648	s	53003	505	0.998585	9984	323	0.11248	486.132075	3.782422	0.046764	639.416246
805676e	805676	e	70846	653	0.998913	9960	386	0.222289	641.5	3.874863	0.06788	702.593906
805676g	805676	g	45501	538	0.997824	9940	338	0.146479	451.017241	3.822142	0.051382	478.289497
805676s	805676	s	86585	686	0.998845	9942	355	0.092838	532.348837	4.268932	0.026744	602.98176
805681g	805681	g	93804	369	0.999456	9978	208	0.155843	307.047619	3.616254	0.051604	329.882541
805681p	805681	p	69446	419	0.999251	9963	258	0.128776	361.052632	3.622772	0.056586	446.322863
805724g	805724	g	24466	362	0.996853	9981	285	0.090272	430.357143	3.985733	0.031496	598.089494
805724p	805724	p	37811	533	0.997937	10023	455	0.209119	932.065217	4.036493	0.059308	1136.059074
805961g	805961	g	53993	349	0.99887	9968	225	0.086276	393.8125	4.050883	0.030604	382.317446
806210e	806210	e	50211	454	0.998108	9976	276	0.184443	462.117647	3.544881	0.071486	598.917429
